taskId,label,o_Efficiency,o_Mass flow,c_Design,o_Pressure ratio,c_Speed,c_Factor Name,c_Factor Value,s_rotor1,s_rotor2,s_rotor3,s_stator1,s_stator2,s_stator3,c2d_rotor1_exit,c2d_rotor2_exit,c2d_rotor3_exit,c2d_stator1_exit,c2d_stator2_exit,c2d_stator3_exit,,,
.\data\task_0,Design A 100% p2_140000,83.145880000,51.753080000,Design A,1.709583000,1.000000000,DA,0.960000000,.\data\task_0\rotor1\Mis_line1d_mid_rotor1_task_0.json,.\data\task_0\rotor2\Mis_line1d_mid_rotor2_task_0.json,.\data\task_0\rotor3\Mis_line1d_mid_rotor3_task_0.json,.\data\task_0\stator1\Mis_line1d_mid_stator1_task_0.json,.\data\task_0\stator2\Mis_line1d_mid_stator2_task_0.json,.\data\task_0\stator3\Mis_line1d_mid_stator3_task_0.json,.\data\task_0\rotor1\ent_area2d_exit_rotor1_task_0.json,.\data\task_0\rotor2\ent_area2d_exit_rotor2_task_0.json,.\data\task_0\rotor3\ent_area2d_exit_rotor3_task_0.json,.\data\task_0\stator1\ent_area2d_exit_stator1_task_0.json,.\data\task_0\stator2\ent_area2d_exit_stator2_task_0.json,.\data\task_0\stator3\ent_area2d_exit_stator3_task_0.json,,,
.\data\task_1,Design A 100% p2_150000,86.799590000,51.734640000,Design A,1.786940000,1.000000000,GAC,1.000000000,.\data\task_1\rotor1\Mis_line1d_mid_rotor1_task_1.json,.\data\task_1\rotor2\Mis_line1d_mid_rotor2_task_1.json,.\data\task_1\rotor3\Mis_line1d_mid_rotor3_task_1.json,.\data\task_1\stator1\Mis_line1d_mid_stator1_task_1.json,.\data\task_1\stator2\Mis_line1d_mid_stator2_task_1.json,.\data\task_1\stator3\Mis_line1d_mid_stator3_task_1.json,.\data\task_1\rotor1\ent_area2d_exit_rotor1_task_1.json,.\data\task_1\rotor2\ent_area2d_exit_rotor2_task_1.json,.\data\task_1\rotor3\ent_area2d_exit_rotor3_task_1.json,.\data\task_1\stator1\ent_area2d_exit_stator1_task_1.json,.\data\task_1\stator2\ent_area2d_exit_stator2_task_1.json,.\data\task_1\stator3\ent_area2d_exit_stator3_task_1.json,,,
.\data\task_2,Design A 100% p2_160000,90.179800000,51.506090000,Design A,1.866424000,1.000000000,DA,1.040000000,.\data\task_2\rotor1\Mis_line1d_mid_rotor1_task_2.json,.\data\task_2\rotor2\Mis_line1d_mid_rotor2_task_2.json,.\data\task_2\rotor3\Mis_line1d_mid_rotor3_task_2.json,.\data\task_2\stator1\Mis_line1d_mid_stator1_task_2.json,.\data\task_2\stator2\Mis_line1d_mid_stator2_task_2.json,.\data\task_2\stator3\Mis_line1d_mid_stator3_task_2.json,.\data\task_2\rotor1\ent_area2d_exit_rotor1_task_2.json,.\data\task_2\rotor2\ent_area2d_exit_rotor2_task_2.json,.\data\task_2\rotor3\ent_area2d_exit_rotor3_task_2.json,.\data\task_2\stator1\ent_area2d_exit_stator1_task_2.json,.\data\task_2\stator2\ent_area2d_exit_stator2_task_2.json,.\data\task_2\stator3\ent_area2d_exit_stator3_task_2.json,,,
.\data\task_3,Design A 100% p2_170000,91.626320000,50.809470000,Design A,1.946122000,1.000000000,GAC,0.960000000,.\data\task_3\rotor1\Mis_line1d_mid_rotor1_task_3.json,.\data\task_3\rotor2\Mis_line1d_mid_rotor2_task_3.json,.\data\task_3\rotor3\Mis_line1d_mid_rotor3_task_3.json,.\data\task_3\stator1\Mis_line1d_mid_stator1_task_3.json,.\data\task_3\stator2\Mis_line1d_mid_stator2_task_3.json,.\data\task_3\stator3\Mis_line1d_mid_stator3_task_3.json,.\data\task_3\rotor1\ent_area2d_exit_rotor1_task_3.json,.\data\task_3\rotor2\ent_area2d_exit_rotor2_task_3.json,.\data\task_3\rotor3\ent_area2d_exit_rotor3_task_3.json,.\data\task_3\stator1\ent_area2d_exit_stator1_task_3.json,.\data\task_3\stator2\ent_area2d_exit_stator2_task_3.json,.\data\task_3\stator3\ent_area2d_exit_stator3_task_3.json,,,
.\data\task_4,Design A 100% p2_180000,92.431390000,49.770550000,Design A,2.025783000,1.000000000,DA,1.000000000,.\data\task_4\rotor1\Mis_line1d_mid_rotor1_task_4.json,.\data\task_4\rotor2\Mis_line1d_mid_rotor2_task_4.json,.\data\task_4\rotor3\Mis_line1d_mid_rotor3_task_4.json,.\data\task_4\stator1\Mis_line1d_mid_stator1_task_4.json,.\data\task_4\stator2\Mis_line1d_mid_stator2_task_4.json,.\data\task_4\stator3\Mis_line1d_mid_stator3_task_4.json,.\data\task_4\rotor1\ent_area2d_exit_rotor1_task_4.json,.\data\task_4\rotor2\ent_area2d_exit_rotor2_task_4.json,.\data\task_4\rotor3\ent_area2d_exit_rotor3_task_4.json,.\data\task_4\stator1\ent_area2d_exit_stator1_task_4.json,.\data\task_4\stator2\ent_area2d_exit_stator2_task_4.json,.\data\task_4\stator3\ent_area2d_exit_stator3_task_4.json,,,
.\data\task_5,Design A 100% p2_190000,93.045640000,48.540640000,Design A,2.106060000,1.000000000,GAC,1.040000000,.\data\task_5\rotor1\Mis_line1d_mid_rotor1_task_5.json,.\data\task_5\rotor2\Mis_line1d_mid_rotor2_task_5.json,.\data\task_5\rotor3\Mis_line1d_mid_rotor3_task_5.json,.\data\task_5\stator1\Mis_line1d_mid_stator1_task_5.json,.\data\task_5\stator2\Mis_line1d_mid_stator2_task_5.json,.\data\task_5\stator3\Mis_line1d_mid_stator3_task_5.json,.\data\task_5\rotor1\ent_area2d_exit_rotor1_task_5.json,.\data\task_5\rotor2\ent_area2d_exit_rotor2_task_5.json,.\data\task_5\rotor3\ent_area2d_exit_rotor3_task_5.json,.\data\task_5\stator1\ent_area2d_exit_stator1_task_5.json,.\data\task_5\stator2\ent_area2d_exit_stator2_task_5.json,.\data\task_5\stator3\ent_area2d_exit_stator3_task_5.json,,,
.\data\task_6,Design A 90% p2_110000,74.665120000,46.744130000,Design A,1.440866000,0.900000000,DA,0.960000000,.\data\task_6\rotor1\Mis_line1d_mid_rotor1_task_6.json,.\data\task_6\rotor2\Mis_line1d_mid_rotor2_task_6.json,.\data\task_6\rotor3\Mis_line1d_mid_rotor3_task_6.json,.\data\task_6\stator1\Mis_line1d_mid_stator1_task_6.json,.\data\task_6\stator2\Mis_line1d_mid_stator2_task_6.json,.\data\task_6\stator3\Mis_line1d_mid_stator3_task_6.json,.\data\task_6\rotor1\ent_area2d_exit_rotor1_task_6.json,.\data\task_6\rotor2\ent_area2d_exit_rotor2_task_6.json,.\data\task_6\rotor3\ent_area2d_exit_rotor3_task_6.json,.\data\task_6\stator1\ent_area2d_exit_stator1_task_6.json,.\data\task_6\stator2\ent_area2d_exit_stator2_task_6.json,.\data\task_6\stator3\ent_area2d_exit_stator3_task_6.json,,,
.\data\task_7,Design A 90% p2_120000,79.673900000,46.717410000,Design A,1.496172000,0.900000000,GAC,1.000000000,.\data\task_7\rotor1\Mis_line1d_mid_rotor1_task_7.json,.\data\task_7\rotor2\Mis_line1d_mid_rotor2_task_7.json,.\data\task_7\rotor3\Mis_line1d_mid_rotor3_task_7.json,.\data\task_7\stator1\Mis_line1d_mid_stator1_task_7.json,.\data\task_7\stator2\Mis_line1d_mid_stator2_task_7.json,.\data\task_7\stator3\Mis_line1d_mid_stator3_task_7.json,.\data\task_7\rotor1\ent_area2d_exit_rotor1_task_7.json,.\data\task_7\rotor2\ent_area2d_exit_rotor2_task_7.json,.\data\task_7\rotor3\ent_area2d_exit_rotor3_task_7.json,.\data\task_7\stator1\ent_area2d_exit_stator1_task_7.json,.\data\task_7\stator2\ent_area2d_exit_stator2_task_7.json,.\data\task_7\stator3\ent_area2d_exit_stator3_task_7.json,,,
.\data\task_8,Design A 90% p2_130000,85.149430000,46.672730000,Design A,1.561536000,0.900000000,DA,1.040000000,.\data\task_8\rotor1\Mis_line1d_mid_rotor1_task_8.json,.\data\task_8\rotor2\Mis_line1d_mid_rotor2_task_8.json,.\data\task_8\rotor3\Mis_line1d_mid_rotor3_task_8.json,.\data\task_8\stator1\Mis_line1d_mid_stator1_task_8.json,.\data\task_8\stator2\Mis_line1d_mid_stator2_task_8.json,.\data\task_8\stator3\Mis_line1d_mid_stator3_task_8.json,.\data\task_8\rotor1\ent_area2d_exit_rotor1_task_8.json,.\data\task_8\rotor2\ent_area2d_exit_rotor2_task_8.json,.\data\task_8\rotor3\ent_area2d_exit_rotor3_task_8.json,.\data\task_8\stator1\ent_area2d_exit_stator1_task_8.json,.\data\task_8\stator2\ent_area2d_exit_stator2_task_8.json,.\data\task_8\stator3\ent_area2d_exit_stator3_task_8.json,,,
.\data\task_9,Design A 90% p2_140000,89.683020000,46.268340000,Design A,1.636012000,0.900000000,GAC,0.960000000,.\data\task_9\rotor1\Mis_line1d_mid_rotor1_task_9.json,.\data\task_9\rotor2\Mis_line1d_mid_rotor2_task_9.json,.\data\task_9\rotor3\Mis_line1d_mid_rotor3_task_9.json,.\data\task_9\stator1\Mis_line1d_mid_stator1_task_9.json,.\data\task_9\stator2\Mis_line1d_mid_stator2_task_9.json,.\data\task_9\stator3\Mis_line1d_mid_stator3_task_9.json,.\data\task_9\rotor1\ent_area2d_exit_rotor1_task_9.json,.\data\task_9\rotor2\ent_area2d_exit_rotor2_task_9.json,.\data\task_9\rotor3\ent_area2d_exit_rotor3_task_9.json,.\data\task_9\stator1\ent_area2d_exit_stator1_task_9.json,.\data\task_9\stator2\ent_area2d_exit_stator2_task_9.json,.\data\task_9\stator3\ent_area2d_exit_stator3_task_9.json,,,
.\data\task_10,Design A 90% p2_150000,91.665610000,45.234920000,Design A,1.711503000,0.900000000,DA,1.000000000,.\data\task_10\rotor1\Mis_line1d_mid_rotor1_task_10.json,.\data\task_10\rotor2\Mis_line1d_mid_rotor2_task_10.json,.\data\task_10\rotor3\Mis_line1d_mid_rotor3_task_10.json,.\data\task_10\stator1\Mis_line1d_mid_stator1_task_10.json,.\data\task_10\stator2\Mis_line1d_mid_stator2_task_10.json,.\data\task_10\stator3\Mis_line1d_mid_stator3_task_10.json,.\data\task_10\rotor1\ent_area2d_exit_rotor1_task_10.json,.\data\task_10\rotor2\ent_area2d_exit_rotor2_task_10.json,.\data\task_10\rotor3\ent_area2d_exit_rotor3_task_10.json,.\data\task_10\stator1\ent_area2d_exit_stator1_task_10.json,.\data\task_10\stator2\ent_area2d_exit_stator2_task_10.json,.\data\task_10\stator3\ent_area2d_exit_stator3_task_10.json,,,
.\data\task_11,Design A 90% p2_160000,92.746710000,43.868450000,Design A,1.788288000,0.900000000,GAC,1.040000000,.\data\task_11\rotor1\Mis_line1d_mid_rotor1_task_11.json,.\data\task_11\rotor2\Mis_line1d_mid_rotor2_task_11.json,.\data\task_11\rotor3\Mis_line1d_mid_rotor3_task_11.json,.\data\task_11\stator1\Mis_line1d_mid_stator1_task_11.json,.\data\task_11\stator2\Mis_line1d_mid_stator2_task_11.json,.\data\task_11\stator3\Mis_line1d_mid_stator3_task_11.json,.\data\task_11\rotor1\ent_area2d_exit_rotor1_task_11.json,.\data\task_11\rotor2\ent_area2d_exit_rotor2_task_11.json,.\data\task_11\rotor3\ent_area2d_exit_rotor3_task_11.json,.\data\task_11\stator1\ent_area2d_exit_stator1_task_11.json,.\data\task_11\stator2\ent_area2d_exit_stator2_task_11.json,.\data\task_11\stator3\ent_area2d_exit_stator3_task_11.json,,,
.\data\task_12,Design A 90% p2_170000,93.248250000,42.069590000,Design A,1.866299000,0.900000000,DA,0.960000000,.\data\task_12\rotor1\Mis_line1d_mid_rotor1_task_12.json,.\data\task_12\rotor2\Mis_line1d_mid_rotor2_task_12.json,.\data\task_12\rotor3\Mis_line1d_mid_rotor3_task_12.json,.\data\task_12\stator1\Mis_line1d_mid_stator1_task_12.json,.\data\task_12\stator2\Mis_line1d_mid_stator2_task_12.json,.\data\task_12\stator3\Mis_line1d_mid_stator3_task_12.json,.\data\task_12\rotor1\ent_area2d_exit_rotor1_task_12.json,.\data\task_12\rotor2\ent_area2d_exit_rotor2_task_12.json,.\data\task_12\rotor3\ent_area2d_exit_rotor3_task_12.json,.\data\task_12\stator1\ent_area2d_exit_stator1_task_12.json,.\data\task_12\stator2\ent_area2d_exit_stator2_task_12.json,.\data\task_12\stator3\ent_area2d_exit_stator3_task_12.json,,,
.\data\task_13,Design A 80% p2_90000,63.434480000,41.996250000,Design A,1.255136000,0.800000000,GAC,1.000000000,.\data\task_13\rotor1\Mis_line1d_mid_rotor1_task_13.json,.\data\task_13\rotor2\Mis_line1d_mid_rotor2_task_13.json,.\data\task_13\rotor3\Mis_line1d_mid_rotor3_task_13.json,.\data\task_13\stator1\Mis_line1d_mid_stator1_task_13.json,.\data\task_13\stator2\Mis_line1d_mid_stator2_task_13.json,.\data\task_13\stator3\Mis_line1d_mid_stator3_task_13.json,.\data\task_13\rotor1\ent_area2d_exit_rotor1_task_13.json,.\data\task_13\rotor2\ent_area2d_exit_rotor2_task_13.json,.\data\task_13\rotor3\ent_area2d_exit_rotor3_task_13.json,.\data\task_13\stator1\ent_area2d_exit_stator1_task_13.json,.\data\task_13\stator2\ent_area2d_exit_stator2_task_13.json,.\data\task_13\stator3\ent_area2d_exit_stator3_task_13.json,,,
.\data\task_14,Design A 80% p2_100000,71.885210000,41.953180000,Design A,1.310277000,0.800000000,DA,1.040000000,.\data\task_14\rotor1\Mis_line1d_mid_rotor1_task_14.json,.\data\task_14\rotor2\Mis_line1d_mid_rotor2_task_14.json,.\data\task_14\rotor3\Mis_line1d_mid_rotor3_task_14.json,.\data\task_14\stator1\Mis_line1d_mid_stator1_task_14.json,.\data\task_14\stator2\Mis_line1d_mid_stator2_task_14.json,.\data\task_14\stator3\Mis_line1d_mid_stator3_task_14.json,.\data\task_14\rotor1\ent_area2d_exit_rotor1_task_14.json,.\data\task_14\rotor2\ent_area2d_exit_rotor2_task_14.json,.\data\task_14\rotor3\ent_area2d_exit_rotor3_task_14.json,.\data\task_14\stator1\ent_area2d_exit_stator1_task_14.json,.\data\task_14\stator2\ent_area2d_exit_stator2_task_14.json,.\data\task_14\stator3\ent_area2d_exit_stator3_task_14.json,,,
.\data\task_15,Design A 80% p2_110000,79.375460000,41.921120000,Design A,1.358285000,0.800000000,GAC,0.960000000,.\data\task_15\rotor1\Mis_line1d_mid_rotor1_task_15.json,.\data\task_15\rotor2\Mis_line1d_mid_rotor2_task_15.json,.\data\task_15\rotor3\Mis_line1d_mid_rotor3_task_15.json,.\data\task_15\stator1\Mis_line1d_mid_stator1_task_15.json,.\data\task_15\stator2\Mis_line1d_mid_stator2_task_15.json,.\data\task_15\stator3\Mis_line1d_mid_stator3_task_15.json,.\data\task_15\rotor1\ent_area2d_exit_rotor1_task_15.json,.\data\task_15\rotor2\ent_area2d_exit_rotor2_task_15.json,.\data\task_15\rotor3\ent_area2d_exit_rotor3_task_15.json,.\data\task_15\stator1\ent_area2d_exit_stator1_task_15.json,.\data\task_15\stator2\ent_area2d_exit_stator2_task_15.json,.\data\task_15\stator3\ent_area2d_exit_stator3_task_15.json,,,
