taskId,n_Efficiency,label,n_Mass flow,c_Design,n_Pressure ratio,c_Speed
0,8.31E+01," ""Design A 100% p2_140000""",5.18E+01," ""Design A""",1.71E+00," ""100%"""
1,8.68E+01," ""Design A 100% p2_150000""",5.17E+01," ""Design A""",1.79E+00," ""100%"""
2,9.02E+01," ""Design A 100% p2_160000""",5.15E+01," ""Design A""",1.87E+00," ""100%"""
3,9.16E+01," ""Design A 100% p2_170000""",5.08E+01," ""Design A""",1.95E+00," ""100%"""
4,9.24E+01," ""Design A 100% p2_180000""",4.98E+01," ""Design A""",2.03E+00," ""100%"""
5,9.30E+01," ""Design A 100% p2_190000""",4.85E+01," ""Design A""",2.11E+00," ""100%"""
6,7.47E+01," ""Design A 90% p2_110000""",4.67E+01," ""Design A""",1.44E+00," ""90%"""
7,7.97E+01," ""Design A 90% p2_120000""",4.67E+01," ""Design A""",1.50E+00," ""90%"""
8,8.51E+01," ""Design A 90% p2_130000""",4.67E+01," ""Design A""",1.56E+00," ""90%"""
9,8.97E+01," ""Design A 90% p2_140000""",4.63E+01," ""Design A""",1.64E+00," ""90%"""
10,9.17E+01," ""Design A 90% p2_150000""",4.52E+01," ""Design A""",1.71E+00," ""90%"""
11,9.27E+01," ""Design A 90% p2_160000""",4.39E+01," ""Design A""",1.79E+00," ""90%"""
12,9.32E+01," ""Design A 90% p2_170000""",4.21E+01," ""Design A""",1.87E+00," ""90%"""
13,6.34E+01," ""Design A 80% p2_90000""",4.20E+01," ""Design A""",1.26E+00," ""80%"""
14,7.19E+01," ""Design A 80% p2_100000""",4.20E+01," ""Design A""",1.31E+00," ""80%"""
15,7.94E+01," ""Design A 80% p2_110000""",4.19E+01," ""Design A""",1.36E+00," ""80%"""
16,8.60E+01," ""Design A 80% p2_120000""",4.15E+01," ""Design A""",1.42E+00," ""80%"""
17,9.03E+01," ""Design A 80% p2_130000""",4.05E+01," ""Design A""",1.49E+00," ""80%"""
18,9.23E+01," ""Design A 80% p2_140000""",3.89E+01," ""Design A""",1.56E+00," ""80%"""
19,9.32E+01," ""Design A 80% p2_150000""",3.68E+01," ""Design A""",1.64E+00," ""80%"""
20,8.30E+01," ""Design B 100% p2_140000""",5.18E+01," ""Design B""",1.71E+00," ""100%"""
21,8.67E+01," ""Design B 100% p2_150000""",5.17E+01," ""Design B""",1.79E+00," ""100%"""
22,9.01E+01," ""Design B 100% p2_160000""",5.16E+01," ""Design B""",1.87E+00," ""100%"""
23,9.15E+01," ""Design B 100% p2_170000""",5.08E+01," ""Design B""",1.94E+00," ""100%"""
24,9.23E+01," ""Design B 100% p2_180000""",4.97E+01," ""Design B""",2.02E+00," ""100%"""
25,9.26E+01," ""Design B 100% p2_190000""",4.82E+01," ""Design B""",2.11E+00," ""100%"""
26,7.41E+01," ""Design B 90% p2_110000""",4.67E+01," ""Design B""",1.44E+00," ""90%"""
27,7.91E+01," ""Design B 90% p2_120000""",4.67E+01," ""Design B""",1.49E+00," ""90%"""
28,8.50E+01," ""Design B 90% p2_130000""",4.67E+01," ""Design B""",1.56E+00," ""90%"""
29,8.96E+01," ""Design B 90% p2_140000""",4.63E+01," ""Design B""",1.64E+00," ""90%"""
30,9.16E+01," ""Design B 90% p2_150000""",4.52E+01," ""Design B""",1.71E+00," ""90%"""
31,9.26E+01," ""Design B 90% p2_160000""",4.39E+01," ""Design B""",1.79E+00," ""90%"""
32,9.27E+01," ""Design B 90% p2_170000""",4.16E+01," ""Design B""",1.86E+00," ""90%"""
33,6.27E+01," ""Design B 80% p2_90000""",4.20E+01," ""Design B""",1.25E+00," ""80%"""
34,7.02E+01," ""Design B 80% p2_100000""",4.19E+01," ""Design B""",1.30E+00," ""80%"""
35,7.87E+01," ""Design B 80% p2_110000""",4.19E+01," ""Design B""",1.35E+00," ""80%"""
36,8.61E+01," ""Design B 80% p2_120000""",4.15E+01," ""Design B""",1.42E+00," ""80%"""
37,9.02E+01," ""Design B 80% p2_130000""",4.05E+01," ""Design B""",1.49E+00," ""80%"""
38,9.22E+01," ""Design B 80% p2_140000""",3.89E+01," ""Design B""",1.56E+00," ""80%"""
39,9.27E+01," ""Design B 80% p2_150000""",3.63E+01," ""Design B""",1.63E+00," ""80%"""
40,8.30E+01," ""Design C 100% p2_140000""",5.19E+01," ""Design C""",1.71E+00," ""100%"""
41,8.66E+01," ""Design C 100% p2_150000""",5.18E+01," ""Design C""",1.79E+00," ""100%"""
42,9.01E+01," ""Design C 100% p2_160000""",5.16E+01," ""Design C""",1.87E+00," ""100%"""
43,9.15E+01," ""Design C 100% p2_170000""",5.08E+01," ""Design C""",1.95E+00," ""100%"""
44,9.24E+01," ""Design C 100% p2_180000""",4.98E+01," ""Design C""",2.03E+00," ""100%"""
45,9.29E+01," ""Design C 100% p2_190000""",4.85E+01," ""Design C""",2.11E+00," ""100%"""
46,7.41E+01," ""Design C 90% p2_110000""",4.68E+01," ""Design C""",1.44E+00," ""90%"""
47,7.91E+01," ""Design C 90% p2_120000""",4.67E+01," ""Design C""",1.49E+00," ""90%"""
48,8.49E+01," ""Design C 90% p2_130000""",4.67E+01," ""Design C""",1.56E+00," ""90%"""
49,8.96E+01," ""Design C 90% p2_140000""",4.63E+01," ""Design C""",1.64E+00," ""90%"""
50,9.16E+01," ""Design C 90% p2_150000""",4.53E+01," ""Design C""",1.71E+00," ""90%"""
51,9.27E+01," ""Design C 90% p2_160000""",4.39E+01," ""Design C""",1.79E+00," ""90%"""
52,9.31E+01," ""Design C 90% p2_170000""",4.20E+01," ""Design C""",1.86E+00," ""90%"""
53,6.25E+01," ""Design C 80% p2_90000""",4.20E+01," ""Design C""",1.26E+00," ""80%"""
54,6.96E+01," ""Design C 80% p2_100000""",4.20E+01," ""Design C""",1.30E+00," ""80%"""
55,7.85E+01," ""Design C 80% p2_110000""",4.20E+01," ""Design C""",1.35E+00," ""80%"""
56,8.61E+01," ""Design C 80% p2_120000""",4.16E+01," ""Design C""",1.42E+00," ""80%"""
57,9.03E+01," ""Design C 80% p2_130000""",4.05E+01," ""Design C""",1.49E+00," ""80%"""
58,9.23E+01," ""Design C 80% p2_140000""",3.89E+01," ""Design C""",1.56E+00," ""80%"""
59,9.31E+01," ""Design C 80% p2_150000""",3.67E+01," ""Design C""",1.64E+00," ""80%"""
60,8.35E+01," ""Design D 100% p2_140000""",5.19E+01," ""Design D""",1.71E+00," ""100%"""
61,8.67E+01," ""Design D 100% p2_150000""",5.19E+01," ""Design D""",1.79E+00," ""100%"""
62,9.01E+01," ""Design D 100% p2_160000""",5.16E+01," ""Design D""",1.87E+00," ""100%"""
63,9.16E+01," ""Design D 100% p2_170000""",5.09E+01," ""Design D""",1.95E+00," ""100%"""
64,9.24E+01," ""Design D 100% p2_180000""",4.99E+01," ""Design D""",2.03E+00," ""100%"""
65,9.28E+01," ""Design D 100% p2_190000""",4.86E+01," ""Design D""",2.11E+00," ""100%"""
66,7.49E+01," ""Design D 90% p2_110000""",4.68E+01," ""Design D""",1.44E+00," ""90%"""
67,8.04E+01," ""Design D 90% p2_120000""",4.68E+01," ""Design D""",1.50E+00," ""90%"""
68,8.52E+01," ""Design D 90% p2_130000""",4.68E+01," ""Design D""",1.56E+00," ""90%"""
69,8.97E+01," ""Design D 90% p2_140000""",4.64E+01," ""Design D""",1.64E+00," ""90%"""
70,9.16E+01," ""Design D 90% p2_150000""",4.53E+01," ""Design D""",1.71E+00," ""90%"""
71,9.27E+01," ""Design D 90% p2_160000""",4.39E+01," ""Design D""",1.79E+00," ""90%"""
72,9.31E+01," ""Design D 90% p2_170000""",4.21E+01," ""Design D""",1.87E+00," ""90%"""
73,6.41E+01," ""Design D 80% p2_90000""",4.21E+01," ""Design D""",1.26E+00," ""80%"""
74,6.99E+01," ""Design D 80% p2_100000""",4.21E+01," ""Design D""",1.30E+00," ""80%"""
75,7.93E+01," ""Design D 80% p2_110000""",4.20E+01," ""Design D""",1.35E+00," ""80%"""
76,8.63E+01," ""Design D 80% p2_120000""",4.16E+01," ""Design D""",1.42E+00," ""80%"""
77,9.03E+01," ""Design D 80% p2_130000""",4.05E+01," ""Design D""",1.49E+00," ""80%"""
78,9.23E+01," ""Design D 80% p2_140000""",3.89E+01," ""Design D""",1.56E+00," ""80%"""
79,9.31E+01," ""Design D 80% p2_150000""",3.67E+01," ""Design D""",1.64E+00," ""80%"""
80,8.39E+01," ""Design E 100% p2_140000""",5.20E+01," ""Design E""",1.71E+00," ""100%"""
81,8.73E+01," ""Design E 100% p2_150000""",5.20E+01," ""Design E""",1.79E+00," ""100%"""
82,9.06E+01," ""Design E 100% p2_160000""",5.17E+01," ""Design E""",1.87E+00," ""100%"""
83,9.19E+01," ""Design E 100% p2_170000""",5.09E+01," ""Design E""",1.95E+00," ""100%"""
84,9.27E+01," ""Design E 100% p2_180000""",4.99E+01," ""Design E""",2.03E+00," ""100%"""
85,9.29E+01," ""Design E 100% p2_190000""",4.84E+01," ""Design E""",2.11E+00," ""100%"""
86,7.52E+01," ""Design E 90% p2_110000""",4.69E+01," ""Design E""",1.44E+00," ""90%"""
87,8.09E+01," ""Design E 90% p2_120000""",4.69E+01," ""Design E""",1.50E+00," ""90%"""
88,8.58E+01," ""Design E 90% p2_130000""",4.69E+01," ""Design E""",1.56E+00," ""90%"""
89,9.02E+01," ""Design E 90% p2_140000""",4.64E+01," ""Design E""",1.64E+00," ""90%"""
90,9.20E+01," ""Design E 90% p2_150000""",4.53E+01," ""Design E""",1.71E+00," ""90%"""
91,9.29E+01," ""Design E 90% p2_160000""",4.39E+01," ""Design E""",1.79E+00," ""90%"""
92,9.31E+01," ""Design E 90% p2_170000""",4.19E+01," ""Design E""",1.86E+00," ""90%"""
93,6.45E+01," ""Design E 80% p2_90000""",4.22E+01," ""Design E""",1.26E+00," ""80%"""
94,7.07E+01," ""Design E 80% p2_100000""",4.21E+01," ""Design E""",1.30E+00," ""80%"""
95,7.94E+01," ""Design E 80% p2_110000""",4.21E+01," ""Design E""",1.35E+00," ""80%"""
96,8.69E+01," ""Design E 80% p2_120000""",4.17E+01," ""Design E""",1.42E+00," ""80%"""
97,9.07E+01," ""Design E 80% p2_130000""",4.05E+01," ""Design E""",1.49E+00," ""80%"""
98,9.25E+01," ""Design E 80% p2_140000""",3.88E+01," ""Design E""",1.56E+00," ""80%"""
99,9.30E+01," ""Design E 80% p2_150000""",3.66E+01," ""Design E""",1.64E+00," ""80%"""
