taskId,label,o_Efficiency,o_Mass flow,c_Design,o_Pressure ratio,c_Speed,c_Factor Name,c_Factor Value,s_rotor1,s_rotor2,s_rotor3,s_stator1,s_stator2,s_stator3,c2d_rotor1_exit,c2d_rotor2_exit,c2d_rotor3_exit,c2d_stator1_exit,c2d_stator2_exit,c2d_stator3_exit
.\data\task_49,Design C 90% p2_140000,89.61167,46.30878,Design C,1.635146,0.9,GAC,1,.\data\task_49\rotor1\Mis_line1d_mid_rotor1_task_49.json,.\data\task_49\rotor2\Mis_line1d_mid_rotor2_task_49.json,.\data\task_49\rotor3\Mis_line1d_mid_rotor3_task_49.json,.\data\task_49\stator1\Mis_line1d_mid_stator1_task_49.json,.\data\task_49\stator2\Mis_line1d_mid_stator2_task_49.json,.\data\task_49\stator3\Mis_line1d_mid_stator3_task_49.json,.\data\task_49\rotor1\ent_area2d_exit_rotor1_task_49.json,.\data\task_49\rotor2\ent_area2d_exit_rotor2_task_49.json,.\data\task_49\rotor3\ent_area2d_exit_rotor3_task_49.json,.\data\task_49\stator1\ent_area2d_exit_stator1_task_49.json,.\data\task_49\stator2\ent_area2d_exit_stator2_task_49.json,.\data\task_49\stator3\ent_area2d_exit_stator3_task_49.json
.\data\task_50,Design C 90% p2_150000,91.61307,45.26789,Design C,1.710861,0.9,DA,1.04,.\data\task_50\rotor1\Mis_line1d_mid_rotor1_task_50.json,.\data\task_50\rotor2\Mis_line1d_mid_rotor2_task_50.json,.\data\task_50\rotor3\Mis_line1d_mid_rotor3_task_50.json,.\data\task_50\stator1\Mis_line1d_mid_stator1_task_50.json,.\data\task_50\stator2\Mis_line1d_mid_stator2_task_50.json,.\data\task_50\stator3\Mis_line1d_mid_stator3_task_50.json,.\data\task_50\rotor1\ent_area2d_exit_rotor1_task_50.json,.\data\task_50\rotor2\ent_area2d_exit_rotor2_task_50.json,.\data\task_50\rotor3\ent_area2d_exit_rotor3_task_50.json,.\data\task_50\stator1\ent_area2d_exit_stator1_task_50.json,.\data\task_50\stator2\ent_area2d_exit_stator2_task_50.json,.\data\task_50\stator3\ent_area2d_exit_stator3_task_50.json
.\data\task_51,Design C 90% p2_160000,92.68741,43.88658,Design C,1.788069,0.9,GAC,0.96,.\data\task_51\rotor1\Mis_line1d_mid_rotor1_task_51.json,.\data\task_51\rotor2\Mis_line1d_mid_rotor2_task_51.json,.\data\task_51\rotor3\Mis_line1d_mid_rotor3_task_51.json,.\data\task_51\stator1\Mis_line1d_mid_stator1_task_51.json,.\data\task_51\stator2\Mis_line1d_mid_stator2_task_51.json,.\data\task_51\stator3\Mis_line1d_mid_stator3_task_51.json,.\data\task_51\rotor1\ent_area2d_exit_rotor1_task_51.json,.\data\task_51\rotor2\ent_area2d_exit_rotor2_task_51.json,.\data\task_51\rotor3\ent_area2d_exit_rotor3_task_51.json,.\data\task_51\stator1\ent_area2d_exit_stator1_task_51.json,.\data\task_51\stator2\ent_area2d_exit_stator2_task_51.json,.\data\task_51\stator3\ent_area2d_exit_stator3_task_51.json
.\data\task_52,Design C 90% p2_170000,93.06691,41.99544,Design C,1.864946,0.9,DA,1,.\data\task_52\rotor1\Mis_line1d_mid_rotor1_task_52.json,.\data\task_52\rotor2\Mis_line1d_mid_rotor2_task_52.json,.\data\task_52\rotor3\Mis_line1d_mid_rotor3_task_52.json,.\data\task_52\stator1\Mis_line1d_mid_stator1_task_52.json,.\data\task_52\stator2\Mis_line1d_mid_stator2_task_52.json,.\data\task_52\stator3\Mis_line1d_mid_stator3_task_52.json,.\data\task_52\rotor1\ent_area2d_exit_rotor1_task_52.json,.\data\task_52\rotor2\ent_area2d_exit_rotor2_task_52.json,.\data\task_52\rotor3\ent_area2d_exit_rotor3_task_52.json,.\data\task_52\stator1\ent_area2d_exit_stator1_task_52.json,.\data\task_52\stator2\ent_area2d_exit_stator2_task_52.json,.\data\task_52\stator3\ent_area2d_exit_stator3_task_52.json
.\data\task_53,Design C 80% p2_90000,62.53687,42.0103,Design C,1.25842,0.8,GAC,1.04,.\data\task_53\rotor1\Mis_line1d_mid_rotor1_task_53.json,.\data\task_53\rotor2\Mis_line1d_mid_rotor2_task_53.json,.\data\task_53\rotor3\Mis_line1d_mid_rotor3_task_53.json,.\data\task_53\stator1\Mis_line1d_mid_stator1_task_53.json,.\data\task_53\stator2\Mis_line1d_mid_stator2_task_53.json,.\data\task_53\stator3\Mis_line1d_mid_stator3_task_53.json,.\data\task_53\rotor1\ent_area2d_exit_rotor1_task_53.json,.\data\task_53\rotor2\ent_area2d_exit_rotor2_task_53.json,.\data\task_53\rotor3\ent_area2d_exit_rotor3_task_53.json,.\data\task_53\stator1\ent_area2d_exit_stator1_task_53.json,.\data\task_53\stator2\ent_area2d_exit_stator2_task_53.json,.\data\task_53\stator3\ent_area2d_exit_stator3_task_53.json
.\data\task_54,Design C 80% p2_100000,69.62771,41.9909,Design C,1.29631,0.8,DA,0.96,.\data\task_54\rotor1\Mis_line1d_mid_rotor1_task_54.json,.\data\task_54\rotor2\Mis_line1d_mid_rotor2_task_54.json,.\data\task_54\rotor3\Mis_line1d_mid_rotor3_task_54.json,.\data\task_54\stator1\Mis_line1d_mid_stator1_task_54.json,.\data\task_54\stator2\Mis_line1d_mid_stator2_task_54.json,.\data\task_54\stator3\Mis_line1d_mid_stator3_task_54.json,.\data\task_54\rotor1\ent_area2d_exit_rotor1_task_54.json,.\data\task_54\rotor2\ent_area2d_exit_rotor2_task_54.json,.\data\task_54\rotor3\ent_area2d_exit_rotor3_task_54.json,.\data\task_54\stator1\ent_area2d_exit_stator1_task_54.json,.\data\task_54\stator2\ent_area2d_exit_stator2_task_54.json,.\data\task_54\stator3\ent_area2d_exit_stator3_task_54.json
.\data\task_55,Design C 80% p2_110000,78.54327,41.95366,Design C,1.352803,0.8,GAC,1,.\data\task_55\rotor1\Mis_line1d_mid_rotor1_task_55.json,.\data\task_55\rotor2\Mis_line1d_mid_rotor2_task_55.json,.\data\task_55\rotor3\Mis_line1d_mid_rotor3_task_55.json,.\data\task_55\stator1\Mis_line1d_mid_stator1_task_55.json,.\data\task_55\stator2\Mis_line1d_mid_stator2_task_55.json,.\data\task_55\stator3\Mis_line1d_mid_stator3_task_55.json,.\data\task_55\rotor1\ent_area2d_exit_rotor1_task_55.json,.\data\task_55\rotor2\ent_area2d_exit_rotor2_task_55.json,.\data\task_55\rotor3\ent_area2d_exit_rotor3_task_55.json,.\data\task_55\stator1\ent_area2d_exit_stator1_task_55.json,.\data\task_55\stator2\ent_area2d_exit_stator2_task_55.json,.\data\task_55\stator3\ent_area2d_exit_stator3_task_55.json
.\data\task_56,Design C 80% p2_120000,86.08909,41.57119,Design C,1.415831,0.8,DA,1.04,.\data\task_56\rotor1\Mis_line1d_mid_rotor1_task_56.json,.\data\task_56\rotor2\Mis_line1d_mid_rotor2_task_56.json,.\data\task_56\rotor3\Mis_line1d_mid_rotor3_task_56.json,.\data\task_56\stator1\Mis_line1d_mid_stator1_task_56.json,.\data\task_56\stator2\Mis_line1d_mid_stator2_task_56.json,.\data\task_56\stator3\Mis_line1d_mid_stator3_task_56.json,.\data\task_56\rotor1\ent_area2d_exit_rotor1_task_56.json,.\data\task_56\rotor2\ent_area2d_exit_rotor2_task_56.json,.\data\task_56\rotor3\ent_area2d_exit_rotor3_task_56.json,.\data\task_56\stator1\ent_area2d_exit_stator1_task_56.json,.\data\task_56\stator2\ent_area2d_exit_stator2_task_56.json,.\data\task_56\stator3\ent_area2d_exit_stator3_task_56.json
.\data\task_57,Design C 80% p2_130000,90.25924,40.52286,Design C,1.48731,0.8,GAC,0.96,.\data\task_57\rotor1\Mis_line1d_mid_rotor1_task_57.json,.\data\task_57\rotor2\Mis_line1d_mid_rotor2_task_57.json,.\data\task_57\rotor3\Mis_line1d_mid_rotor3_task_57.json,.\data\task_57\stator1\Mis_line1d_mid_stator1_task_57.json,.\data\task_57\stator2\Mis_line1d_mid_stator2_task_57.json,.\data\task_57\stator3\Mis_line1d_mid_stator3_task_57.json,.\data\task_57\rotor1\ent_area2d_exit_rotor1_task_57.json,.\data\task_57\rotor2\ent_area2d_exit_rotor2_task_57.json,.\data\task_57\rotor3\ent_area2d_exit_rotor3_task_57.json,.\data\task_57\stator1\ent_area2d_exit_stator1_task_57.json,.\data\task_57\stator2\ent_area2d_exit_stator2_task_57.json,.\data\task_57\stator3\ent_area2d_exit_stator3_task_57.json
.\data\task_58,Design C 80% p2_140000,92.27844,38.89184,Design C,1.56157,0.8,DA,1,.\data\task_58\rotor1\Mis_line1d_mid_rotor1_task_58.json,.\data\task_58\rotor2\Mis_line1d_mid_rotor2_task_58.json,.\data\task_58\rotor3\Mis_line1d_mid_rotor3_task_58.json,.\data\task_58\stator1\Mis_line1d_mid_stator1_task_58.json,.\data\task_58\stator2\Mis_line1d_mid_stator2_task_58.json,.\data\task_58\stator3\Mis_line1d_mid_stator3_task_58.json,.\data\task_58\rotor1\ent_area2d_exit_rotor1_task_58.json,.\data\task_58\rotor2\ent_area2d_exit_rotor2_task_58.json,.\data\task_58\rotor3\ent_area2d_exit_rotor3_task_58.json,.\data\task_58\stator1\ent_area2d_exit_stator1_task_58.json,.\data\task_58\stator2\ent_area2d_exit_stator2_task_58.json,.\data\task_58\stator3\ent_area2d_exit_stator3_task_58.json
